# 출처: https://datalaw.kr/sanctions/ · 수집일 2026-09-11 · 결정문에서 기계 추출한 요약으로 정확성을 보증하지 않습니다. 근거로 쓰기 전에 결정문 원문을 확인하십시오 · 정정 요청: hyunsub.lee@seumlaw.com
의결일,안건번호,사건번호,의결주체,피심인,위반조문,처분,과징금(원),과태료(원),행 주소,원문 게시물
2026-08-26,제2026-216-365호,,제2소위원회,㈜위솝,제29조(안전조치의무),과태료,,"3,600,000",https://datalaw.kr/sanctions/#d-2026-216-365,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0661
2026-08-26,제2026-216-364호,,제2소위원회,제이엠가정의학과의원,제29조(안전조치의무); 제34조(개인정보 유출 등의 통지·신고),과태료,,"7,200,000",https://datalaw.kr/sanctions/#d-2026-216-364,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0661
2026-08-26,제2026-216-363호,,제2소위원회,㈜포시에스,제29조(안전조치의무); 제39조의4(개인정보 유출등의 통지·신고에 대한 특례),과태료,,"7,200,000",https://datalaw.kr/sanctions/#d-2026-216-363,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0661
2026-08-26,제2026-216-362호,,제2소위원회,의료법인 제노플랜 의료재단,제29조(안전조치의무),과태료,,"1,200,000",https://datalaw.kr/sanctions/#d-2026-216-362,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0661
2026-08-26,제2026-216-361호,,제2소위원회,㈜온오프믹스,제29조(안전조치의무),과태료,,"600,000",https://datalaw.kr/sanctions/#d-2026-216-361,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0661
2026-08-26,제2026-216-360호,,제2소위원회,순천향대 부속 부천병원,제17조(개인정보의 제공),시정명령,,,https://datalaw.kr/sanctions/#d-2026-216-360,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0661
2026-08-26,제2026-216-355호,,제2소위원회,경성대학교,제29조(안전조치의무); 제35조 제3항(개인정보의 열람),과태료; 시정명령; 공표 1년,,"13,500,000",https://datalaw.kr/sanctions/#d-2026-216-355,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0668
2026-08-26,제2026-216-354호,,제2소위원회,양평군청,제28조 제1항(개인정보취급자에 대한 감독),시정권고; 공표 1년,,,https://datalaw.kr/sanctions/#d-2026-216-354,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0668
2026-08-26,제2026-207-115호,,제2소위원회,(사)북한발전연구원,제34조 제1항(개인정보 유출 등의 통지·신고),과태료,,"7,200,000",https://datalaw.kr/sanctions/#d-2026-207-115,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0668
2026-08-26,제2026-207-114호,,제2소위원회,에너지경제연구원,제26조 제4항(업무위탁에 따른 개인정보의 처리 제한),시정명령,,,https://datalaw.kr/sanctions/#d-2026-207-114,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0668
2026-08-26,제2026-017-098호,,위원회,HD한국조선해양(주),제29조(안전조치의무),과태료,,"4,800,000",https://datalaw.kr/sanctions/#d-2026-017-098,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0689
2026-08-26,제2026-017-097호,,위원회,HD건설기계(주),제29조(안전조치의무),과징금,"73,500,000",,https://datalaw.kr/sanctions/#d-2026-017-097,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0689
2026-08-12,제2026-215-336호,,제2소위원회,㈜지에이개발,제29조(안전조치의무); 제34조(개인정보 유출 등의 통지·신고),과태료,,"1,800,000",https://datalaw.kr/sanctions/#d-2026-215-336,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0638
2026-08-12,제2026-215-335호,,제2소위원회,거여파크 지역주택조합 추진위원회,제34조(개인정보 유출 등의 통지·신고),개선권고; 경고,,,https://datalaw.kr/sanctions/#d-2026-215-335,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0638
2026-07-22,제2026-214-295호,,제2소위원회,용인시청,제29조(안전조치의무),과태료; 시정권고; 공표 1년,,"10,800,000",https://datalaw.kr/sanctions/#d-2026-214-295,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0550
2026-07-22,제2026-214-294호,,제2소위원회,가평군청,제24조의2 제2항(주민등록번호 처리의 제한); 제28조 제1항(개인정보취급자에 대한 감독),과태료; 시정권고; 공표 1년,,"3,600,000",https://datalaw.kr/sanctions/#d-2026-214-294,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0550
2026-07-22,제2026-214-293호,,제2소위원회,용인시장학재단,제29조(안전조치의무),과태료; 공표 1년,,"3,600,000",https://datalaw.kr/sanctions/#d-2026-214-293,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0550
2026-07-22,제2026-214-292호,,제2소위원회,(재)대구광역시 동구문화재단,제29조(안전조치의무),과태료; 공표 1년,,"1,800,000",https://datalaw.kr/sanctions/#d-2026-214-292,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0550
2026-07-22,제2026-214-291호,,제2소위원회,인천광역시청,제29조(안전조치의무),과태료; 공표 1년,,"4,500,000",https://datalaw.kr/sanctions/#d-2026-214-291,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0550
2026-07-22,제2026-214-290호,,제2소위원회,전남대학교,제29조(안전조치의무),과태료; 시정명령; 공표 1년,,"7,500,000",https://datalaw.kr/sanctions/#d-2026-214-290,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0550
2026-07-22,제2026-214-289호,,제2소위원회,한국방송통신대학교,제21조 제1항(개인정보의 파기); 제29조(안전조치의무),과태료; 공표 1년,,"9,000,000",https://datalaw.kr/sanctions/#d-2026-214-289,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0550
2026-07-22,제2026-214-269호,,제2소위원회,디자인디비,제29조(안전조치의무),과태료,,"4,500,000",https://datalaw.kr/sanctions/#d-2026-214-269,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0551
2026-07-08,제2026-213-271호,2026조삼0010-01,제2소위원회,마스턴투자운용 주식회사,제21조(개인정보의 파기),과태료,,"3,600,000",https://datalaw.kr/sanctions/#d-2026-213-271,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0527
2026-07-08,제2026-213-270호,2024조이0063 등 4건,제2소위원회,이데일리㈜,제29조(안전조치의무); 제39조의4(개인정보 유출등의 통지·신고에 대한 특례),과태료,,"9,900,000",https://datalaw.kr/sanctions/#d-2026-213-270,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0525
2026-07-08,제2026-213-269호,2024조이0063 등 4건,제2소위원회,㈜재미스홈,제29조(안전조치의무); 제34조(개인정보 유출 등의 통지·신고),과태료; 공표,,"4,200,000",https://datalaw.kr/sanctions/#d-2026-213-269,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0525
2026-07-08,제2026-213-268호,2024조이0063 등 4건,제2소위원회,㈜데일리팜,제29조(안전조치의무); 제34조(개인정보 유출 등의 통지·신고),과태료; 시정명령,,"9,000,000",https://datalaw.kr/sanctions/#d-2026-213-268,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0525
2026-07-08,제2026-213-267호,2024조이0063 등 4건,제2소위원회,얼굴홈트㈜,제34조(개인정보 유출 등의 통지·신고),시정명령,,,https://datalaw.kr/sanctions/#d-2026-213-267,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0525
2026-07-08,제2026-213-265호,,제2소위원회,하남도시공사,제28조 제1항(개인정보취급자에 대한 감독),시정명령; 공표 1년,,,https://datalaw.kr/sanctions/#d-2026-213-265,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0529
2026-07-08,제2026-213-264호,,제2소위원회,서광주세무서,제34조 제1항(개인정보 유출 등의 통지·신고),과태료; 공표 1년,,"7,200,000",https://datalaw.kr/sanctions/#d-2026-213-264,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0529
2026-07-08,제2026-213-263호,,제2소위원회,법원도서관,제29조(안전조치의무),과태료; 공표 1년,,"3,600,000",https://datalaw.kr/sanctions/#d-2026-213-263,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0529
2026-07-08,제2026-213-262호,,제2소위원회,법원행정처,제21조 제1항(개인정보의 파기); 제24조의2 제2항(주민등록번호 처리의 제한); 제29조(안전조치의무),과태료; 시정권고; 공표 1년,,"8,100,000",https://datalaw.kr/sanctions/#d-2026-213-262,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0529
