# 출처: https://datalaw.kr/sanctions/kmcc/ · 기준일 2026-08-21 · 방송통신위원회 의결서(스캔본)에서 기계 추출한 요약으로 정확성을 보증하지 않습니다. 근거로 쓰기 전에 의결서 원문을 확인하십시오 · 정정 요청: hyunsub.lee@seumlaw.com
의결일,안건번호,피심인(의결 당시 상호),업종,위반조문,처분,과징금(원),과태료(원),행 주소,의결서 PDF
2023-06-28,제2023-21-055호,비공개,,위치정보법 제19조 제1항·제2항·제3항,시정명령; 과태료,,"4,200,000",https://datalaw.kr/sanctions/kmcc/#k-2023-21-055,https://www.kmcc.go.kr/download.do?fileSeq=56959
2023-06-28,제2023-21-054호,비공개,,위치정보법 제19조 제3항,시정명령; 과태료,,"900,000",https://datalaw.kr/sanctions/kmcc/#k-2023-21-054,https://www.kmcc.go.kr/download.do?fileSeq=56958
2023-06-28,제2023-21-053호,비공개,,위치정보법 제19조 제2항·제3항,시정명령; 과태료,,"4,200,000",https://datalaw.kr/sanctions/kmcc/#k-2023-21-053,https://www.kmcc.go.kr/download.do?fileSeq=56957
2023-06-28,제2023-21-052호,비공개,,위치정보법 제19조 제1항·제2항·제3항; 위치정보법 제9조 제1항,시정명령; 과태료,,"4,200,000",https://datalaw.kr/sanctions/kmcc/#k-2023-21-052,https://www.kmcc.go.kr/download.do?fileSeq=56956
2023-06-28,제2023-21-051호,비공개,,위치정보법 제19조 제1항·제2항·제3항,시정명령; 과태료,,"3,000,000",https://datalaw.kr/sanctions/kmcc/#k-2023-21-051,https://www.kmcc.go.kr/download.do?fileSeq=56955
2023-03-21,제2023-08-027호,비공개,,위치정보법 제7조 제1항,과태료,,"3,000,000",https://datalaw.kr/sanctions/kmcc/#k-2023-08-027,https://www.kmcc.go.kr/download.do?fileSeq=56109
2023-03-21,제2023-08-026호,비공개,,위치정보법 제16조 제1항,과징금,"13,038,560",,https://datalaw.kr/sanctions/kmcc/#k-2023-08-026,https://www.kmcc.go.kr/download.do?fileSeq=56108
2023-03-21,제2023-08-025호,비공개,,위치정보법 제5조 제1항; 위치정보법 제9조 제1항,미고발,,,https://datalaw.kr/sanctions/kmcc/#k-2023-08-025,https://www.kmcc.go.kr/download.do?fileSeq=56107
2023-03-21,제2023-08-024호,비공개,,위치정보법 제5조 제1항; 위치정보법 제9조 제1항,미고발,,,https://datalaw.kr/sanctions/kmcc/#k-2023-08-024,https://www.kmcc.go.kr/download.do?fileSeq=56106
2023-03-21,제2023-08-023호,비공개,,위치정보법 제5조 제1항,미고발,,,https://datalaw.kr/sanctions/kmcc/#k-2023-08-023,https://www.kmcc.go.kr/download.do?fileSeq=56105
2023-03-21,제2023-08-022호,비공개,,위치정보법 제5조 제1항; 위치정보법 제9조 제1항,미고발,,,https://datalaw.kr/sanctions/kmcc/#k-2023-08-022,https://www.kmcc.go.kr/download.do?fileSeq=56104
2023-03-21,제2023-08-021호,비공개,,위치정보법 제5조 제1항,미고발,,,https://datalaw.kr/sanctions/kmcc/#k-2023-08-021,https://www.kmcc.go.kr/download.do?fileSeq=56103
2023-03-21,제2023-08-020호,비공개,,위치정보법 제18조 제1항,과태료,,"1,500,000",https://datalaw.kr/sanctions/kmcc/#k-2023-08-020,https://www.kmcc.go.kr/download.do?fileSeq=56102
2023-03-21,제2023-08-019호,비공개,,위치정보법 제18조 제1항,과태료,,"1,500,000",https://datalaw.kr/sanctions/kmcc/#k-2023-08-019,https://www.kmcc.go.kr/download.do?fileSeq=56100
2023-03-21,제2023-08-018호,비공개,,위치정보법 제5조 제1항,미고발,,,https://datalaw.kr/sanctions/kmcc/#k-2023-08-018,https://www.kmcc.go.kr/download.do?fileSeq=56099
2023-03-21,제2023-08-017호,비공개,,위치정보법 제9조 제1항,미고발,,,https://datalaw.kr/sanctions/kmcc/#k-2023-08-017,https://www.kmcc.go.kr/download.do?fileSeq=56097
2023-03-21,제2023-08-016호,비공개,,위치정보법 제12조 제1항; 위치정보법 제25조 제1항,과태료,,"3,000,000",https://datalaw.kr/sanctions/kmcc/#k-2023-08-016,https://www.kmcc.go.kr/download.do?fileSeq=56096
2023-03-21,제2023-08-015호,비공개,,위치정보법 제25조 제1항,과태료,,"1,500,000",https://datalaw.kr/sanctions/kmcc/#k-2023-08-015,https://www.kmcc.go.kr/download.do?fileSeq=56095
2023-03-21,제2023-08-014호,비공개,,위치정보법 제12조 제1항; 위치정보법 제36조 제2항,과태료,,"3,000,000",https://datalaw.kr/sanctions/kmcc/#k-2023-08-014,https://www.kmcc.go.kr/download.do?fileSeq=56094
2022-09-14,제2022-46-173호,비공개,,위치정보법 제11조,과태료,,"1,800,000",https://datalaw.kr/sanctions/kmcc/#k-2022-46-173,https://www.kmcc.go.kr/download.do?fileSeq=70760
2022-09-14,제2022-46-172호,비공개,,위치정보법 제8조,과태료,,"3,600,000",https://datalaw.kr/sanctions/kmcc/#k-2022-46-172,https://www.kmcc.go.kr/download.do?fileSeq=54936
2022-09-14,제2022-46-171호,비공개,,위치정보법 제8조,과태료,,"3,000,000",https://datalaw.kr/sanctions/kmcc/#k-2022-46-171,https://www.kmcc.go.kr/download.do?fileSeq=54935
2022-09-14,제2022-46-170호,비공개,,위치정보법 제8조,과태료,,"3,600,000",https://datalaw.kr/sanctions/kmcc/#k-2022-46-170,https://www.kmcc.go.kr/download.do?fileSeq=54934
2022-09-14,제2022-46-169호,비공개,,위치정보법 제8조,과태료,,"3,000,000",https://datalaw.kr/sanctions/kmcc/#k-2022-46-169,https://www.kmcc.go.kr/download.do?fileSeq=54933
2020-07-15,제2020-41-210호,비공개,(이하 이라 한다) 서비스를 국내 이용자에게 제공하고 정보통신망을 통해…,정보통신망법 제31조 제1항; 정보통신망법 제63조 제2항,시정명령; 과태료; 과징금,"180,000,000","6,000,000",https://datalaw.kr/sanctions/kmcc/#k-2020-41-210,https://www.kmcc.go.kr/download.do?fileSeq=50378
2020-06-24,제2020-38-187호,비공개,대용량 웹하드 서비스 제공 사이트,정보통신망법 제26조 제1항,시정명령; 과태료,,"3,000,000",https://datalaw.kr/sanctions/kmcc/#k-2020-38-187,https://www.kmcc.go.kr/download.do?fileSeq=50306
2020-06-24,제2020-38-186호,비공개,교육 사이트인,정보통신망법 제28조 제1항,시정명령; 과태료,,"8,000,000",https://datalaw.kr/sanctions/kmcc/#k-2020-38-186,https://www.kmcc.go.kr/download.do?fileSeq=50305
2020-06-24,제2020-38-185호,비공개,서적 판매 사이트,정보통신망법 제28조,시정명령; 과태료,,"5,000,000",https://datalaw.kr/sanctions/kmcc/#k-2020-38-185,https://www.kmcc.go.kr/download.do?fileSeq=50304
